Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
BBC,0.0,1.0,0.0,0.0,1,Wed Jun 06 07:54:34 +0000 2018,India's disabled dancers rocking the bhangra https://t.co/eXsunXbCfY
BBC,0.438,0.562,0.0,-0.8316,2,Wed Jun 06 07:51:51 +0000 2018,Star Wars actress Kelly Marie Tran deletes Instagram posts after abuse https://t.co/ML9MtaaKmb
BBC,0.0,1.0,0.0,0.0,3,Wed Jun 06 07:51:51 +0000 2018,India zoo animals beat the heat with fruit ice lollies https://t.co/t4ARbhOtUB
BBC,0.0,1.0,0.0,0.0,4,Wed Jun 06 07:49:23 +0000 2018,Might Dennis Rodman at the Trump-Kim summit just work? https://t.co/etNtWIzE9n
BBC,0.0,1.0,0.0,0.0,5,Wed Jun 06 07:20:42 +0000 2018,RT @SallyBundockBBC: Should @elonmusk be both CEO and Chairman - is that too much control or necessary for a pioneering company such as #Te…
BBC,0.0,1.0,0.0,0.0,6,Wed Jun 06 06:42:12 +0000 2018,"RT @BBCSteveR: Recent TV interviews with Putin. 

Austrian TV asked about:
Troll factories
MH17 ('Why should we believe you?')
Turning Russ…"
BBC,0.0,0.769,0.231,0.2732,7,Wed Jun 06 05:39:23 +0000 2018,Facebook confirms data-sharing agreements with Chinese firms https://t.co/BSKv1H67WW
BBC,0.0,0.652,0.348,0.4939,8,Wed Jun 06 05:06:38 +0000 2018,Firemen save chickens from volcano eruption https://t.co/fW4LcsotX6
BBC,0.221,0.441,0.338,0.34,9,Wed Jun 06 03:27:49 +0000 2018,Kate Spade: Tributes pour in for 'great talent' after apparent suicide https://t.co/fHxT6RbJcp
BBC,0.0,1.0,0.0,0.0,10,Wed Jun 06 03:01:34 +0000 2018,Elizabeth Wettlaufer: Canadian nurse's confession released https://t.co/eZS85X8dGw
BBC,0.118,0.882,0.0,-0.1531,11,Wed Jun 06 02:37:41 +0000 2018,Tariffs and Trump: Why the G7 summit in Canada could be awkward https://t.co/Z5Zm9Mw0zh
BBC,0.156,0.649,0.195,0.1531,12,Wed Jun 06 02:35:24 +0000 2018,World Cup 2018: Welcome with a warning for England fans in Volgograd https://t.co/AhrNrGODff
BBC,0.0,1.0,0.0,0.0,13,Wed Jun 06 02:28:46 +0000 2018,Cultural coding classes for migrants in Norway https://t.co/onEjhOF0wY
BBC,0.0,1.0,0.0,0.0,14,Wed Jun 06 02:14:34 +0000 2018,James Sutherland: Cricket Australia chief executive quits https://t.co/Z7IxQBS61w
BBC,0.0,1.0,0.0,0.0,15,Wed Jun 06 02:04:36 +0000 2018,Trump-Kim summit to be held on Singapore's Sentosa island https://t.co/9wISgHNFVg
BBC,0.368,0.632,0.0,-0.5423,16,Wed Jun 06 01:28:47 +0000 2018,Pomegranate contamination kills woman in Australia https://t.co/9gaSBSB7DD
BBC,0.35,0.65,0.0,-0.6486,17,Wed Jun 06 01:02:32 +0000 2018,The punk who came back from the dead https://t.co/2gCXzh98fF
BBC,0.37,0.432,0.198,-0.4215,18,Wed Jun 06 00:29:32 +0000 2018,Argentina 'cancels Israel World Cup friendly' after Gaza violence https://t.co/KMsNcPRLcE
BBC,0.244,0.756,0.0,-0.4404,19,Wed Jun 06 00:24:47 +0000 2018,Kim Jong-un: The new kid on the diplomatic block https://t.co/kZ3UUEOE8j
BBC,0.306,0.463,0.231,-0.2023,20,Wed Jun 06 00:18:30 +0000 2018,Kuwait ‘blackface’ comedy show causes outcry https://t.co/tX3jluHeMQ
BBC,0.204,0.796,0.0,-0.3182,21,Tue Jun 05 23:56:39 +0000 2018,Kelly Sadler: Aide who mocked McCain exits White House https://t.co/q8BFv2KM3c
BBC,0.0,0.857,0.143,0.128,22,Tue Jun 05 23:56:37 +0000 2018,Take a look inside the world's largest legal cannabis farm https://t.co/RSes7vV1pa
BBC,0.0,1.0,0.0,0.0,23,Tue Jun 05 23:46:58 +0000 2018,Rebuilding after 9/11 https://t.co/TpIUGWmF8d
BBC,0.0,1.0,0.0,0.0,24,Tue Jun 05 23:42:25 +0000 2018,Inside the secret world of Brazil's WhatsApp abortions https://t.co/USIzzxIVGJ
BBC,0.0,0.702,0.298,0.5267,25,Tue Jun 05 23:17:06 +0000 2018,Cross-Channel migrants gain access to UK using Ireland https://t.co/GCMf94YhJH
BBC,0.0,1.0,0.0,0.0,26,Tue Jun 05 23:07:46 +0000 2018,Why Kate Spade's legacy will live on https://t.co/EpADdBNupY
BBC,0.0,1.0,0.0,0.0,27,Tue Jun 05 23:05:18 +0000 2018,Trump tariffs: Mexico retaliates against US products https://t.co/l2Sr05w71t
BBC,0.0,1.0,0.0,0.0,28,Tue Jun 05 21:54:37 +0000 2018,New explosion at Guatemalan volcano https://t.co/loQAEO8ULf
BBC,0.0,0.887,0.113,0.3182,29,Tue Jun 05 21:51:15 +0000 2018,RT @BBCBreaking: Evacuations are ordered after a fresh blast at Guatemala's Fuego volcano sends material down the south side https://t.co/6…
BBC,0.0,1.0,0.0,0.0,30,Tue Jun 05 21:44:57 +0000 2018,French town near Paris votes to have school uniforms https://t.co/NdztCaPSXd
BBC,0.0,1.0,0.0,0.0,31,Tue Jun 05 21:22:09 +0000 2018,"RT @awzurcher: Donald Trump has the Republican rank and file behind him - and that dictates how he handles policy, Robert Mueller and the m…"
BBC,0.0,1.0,0.0,0.0,32,Tue Jun 05 20:51:27 +0000 2018,France builds first Alzheimer's 'village' in pioneering experiment https://t.co/kXcivV4gRV
BBC,0.0,0.857,0.143,0.3612,33,Tue Jun 05 20:19:13 +0000 2018,The rise of fashion designer Kate Spade reads like a classic American tale of a self-made businesswoman https://t.co/Kh30g7MinE
BBC,0.0,0.846,0.154,0.25,34,Tue Jun 05 19:28:07 +0000 2018,Kate Spade: High school handbags and the New York City dream https://t.co/jIS4hPfekZ
BBC,0.172,0.828,0.0,-0.3612,35,Tue Jun 05 19:17:54 +0000 2018,"Finally a prime minister who cleans up his own mess 👏

https://t.co/cHGVw4ypcd https://t.co/ah9ui1gra5"
BBC,0.137,0.863,0.0,-0.2263,36,Tue Jun 05 18:32:39 +0000 2018,Jordan's King Abdullah calls for tax review after largest protests in years https://t.co/48HoihSEu3
BBC,0.234,0.419,0.347,0.2263,37,Tue Jun 05 18:32:37 +0000 2018,Ethiopia 'accepts peace deal' to end Eritrea border war https://t.co/cnAzyywTHJ
BBC,0.0,1.0,0.0,0.0,38,Tue Jun 05 18:30:19 +0000 2018,Parkland teenager David Hogg 'swatted' in prank call https://t.co/ZidQnFGY63
BBC,0.223,0.777,0.0,-0.6486,39,Tue Jun 05 17:52:40 +0000 2018,"Tributes paid as fashion designer Kate Spade is found dead in her New York apartment
https://t.co/HLXmsvUF6s"
BBC,0.19,0.81,0.0,-0.6908,40,Tue Jun 05 16:52:45 +0000 2018,RT @bbcworldservice: Do asylum seekers from the Middle East and Africa need classes to understand European 'cultural codes' around rape and…
BBC,0.417,0.583,0.0,-0.6486,41,Tue Jun 05 16:20:35 +0000 2018,Fashion designer Kate Spade found dead https://t.co/anKDpXuPoj
